Datum,Text,Ort,Lat,Lon,Jahr,Arrondissement,Quartier,PLZ,geometry,Lat_jitter,Lon_jitter
2023-01-19,"Le 19 janvier 2023, vers 23 h 55, une fusillade éclate dans un local associatif de la cité Consolat, dans le 15e arrondissement de Marseille. Un homme âgé de 45 ans est tué et deux autres personnes sont blessées par des tirs de kalachnikov[82].",cité consolat,43.348223,5.348459,2023,Marseille 15e Arrondissemen,LA CALADE,13015,POINT (5.348459 43.348223),43.348223,5.348459
2023-01-22,"Le 22 janvier 2023, vers 23 h, un homme âgé de 25 ans est abattu d'une balle dans la tête, dans le quartier de la Belle de Mai, dans le 3e arrondissement de Marseille[81].",belle de mai,43.312173,5.385983,2023,Marseille 3e Arrondissemen,BELLE DE MAI,13003,POINT (5.385901842788247 43.312130541832566),43.312130541832566,5.385901842788247
2023-02-15,"Le 15 février 2023, vers 1 h 40, un homme âgé de 17 ans, connu des services de police, est lynché par une trentaine de personnes dans la cité de la Paternelle, dans le 14e arrondissement de Marseille. Il décède de ses blessures quelques heures plus tard[79],[80].",cité de la paternelle,43.338926,5.393644,2023,Marseille 14e Arrondissemen,SAINTE MARTHE,13014,POINT (5.3935406396592125 43.33893189745186),43.33893189745186,5.3935406396592125
2023-02-16,"Le 16 février 2023, vers 14 h 45, un homme âgé de 20 ans est tué par balles, cité des Micocouliers, dans le 14e arrondissement de Marseille[78].",cité des micocouliers,43.347369,5.380743,2023,Marseille 14e Arrondissemen,SAINT JOSEPH,13014,POINT (5.380627713809045 43.34724231681756),43.34724231681756,5.380627713809045
2023-02-18,"Le 18 février 2023, vers 1 h 30, un homme âgé de 28 ans est abattu à la kalachnikov, dans le quartier de la Capelette, dans le 10e arrondissement de Marseille[77].",la capelette,43.277934,5.409453,2023,Marseille 10e Arrondissemen,LA CAPELETTE,13010,POINT (5.409453 43.277934),43.277934,5.409453
2023-02-24,"Le 24 février 2023, vers 18 h 30, un homme âgé de 40 ans est tué par balles, cité de la Paternelle, dans le 14e arrondissement de Marseille[76].",cité de la paternelle,43.338926,5.393644,2023,Marseille 14e Arrondissemen,SAINTE MARTHE,13014,POINT (5.393653250472576 43.338999397635575),43.338999397635575,5.393653250472576
2023-03-08,"Le 8 mars 2023, vers 0 h 40, un homme âgé de 30 ans est tué par balles à proximité de la cité Frais-Vallon dans le 13e arrondissement de Marseille[75].",cité frais vallon,43.325716,5.429227,2023,Marseille 13e Arrondissemen,LA ROSE,13013,POINT (5.429227 43.325716),43.325716,5.429227
2023-03-13,"Le 13 mars 2023, vers 0 h 20, le corps d'un homme est retrouvé dans le coffre d'une voiture incendiée à la Busserine dans le 14e arrondissement de Marseille[74].",busserine,43.334669,5.395367,2023,Marseille 14e Arrondissemen,SAINTE MARTHE,13014,POINT (5.3954675484676855 43.33484332594996),43.33484332594996,5.3954675484676855
2023-03-17,"Le 17 mars 2023, vers 19 h 45, un homme âgé de 22 ans est abattu et un autre est grièvement blessé à la kalachnikov, à proximité de la cité de la Maurelette, dans le 14e arrondissement de Marseille[73]. Matteo Farina est soupçonné de ce meurtre[71].",cité de la maurelette,43.346473,5.377745,2023,Marseille 15e Arrondissemen,LA DELORME,13015,POINT (5.377745 43.346473),43.346473,5.377745
2023-03-23,"Le 23 mars 2023, vers minuit, un homme âgé de 21 ans est abattu de plusieurs tirs de 9mm, dans le quartier de la Villette, dans le 3e arrondissement de Marseille[72].",la villette,43.314158,5.372859,2023,Marseille 3e Arrondissemen,LA VILETTE,13003,POINT (5.372791408700709 43.314288218522506),43.314288218522506,5.372791408700709
2023-03-27,"Le 27 mars 2023, vers 23 h, un homme âgé de 20 ans est abattu de plusieurs tirs de 9mm, dans la cité de la Paternelle, dans le 14e arrondissement de Marseille[69],[70]. Matteo Farina, tueur à gage, est soupçonné de ce meurtre[71].",cité de la paternelle,43.338926,5.393644,2023,Marseille 14e Arrondissemen,SAINTE MARTHE,13014,POINT (5.393446124392189 43.33874898455409),43.33874898455409,5.393446124392189
